"da[, 1]","DCoVaR1DL","DCoVaR2DL","DCoVaR3DL","DCoVaR4DL","DCoVaR5DL","DCoVaR6DL","VaR1D","DCoVaR2DR","DCoVaR3DR","DCoVaR4DR","DCoVaR5DR","DCoVaR6DR","DCoVaR1UL","DCoVaR2UL","DCoVaR3UL","DCoVaR4UL","DCoVaR5UL","DCoVaR6UL","DCoVaR1UR","DCoVaR2UR","DCoVaR3UR","DCoVaR4UR","DCoVaR5UR","DCoVaR6UR"
"2006-03-24",-0.020992049,-0.014659074,-0.001356324,-0.012678028,-0.002773894,-0.002892749,-0.03305183,-0.026487858,-0.002187229,-0.015433656,-0.003721464,-0.003156304,0.020988934,0.013810955,0.00748354,0.0119254,0.007102268,0.002892749,0.037043608,0.035902542,0.023197428,0.020790056,0.016025575,0.004754495
"2006-03-27",-0.020505653,-0.0144342,-0.001281111,-0.012483544,-0.002620072,-0.002732336,-0.033656714,-0.026972615,-0.002227257,-0.015076051,-0.003635237,-0.003107886,0.020502611,0.013599091,0.007068552,0.011742461,0.006708423,0.002732336,0.038534217,0.037033896,0.024577304,0.020192107,0.016093013,0.005222588
"2006-03-28",-0.02108685,-0.01402014,-0.001271525,-0.01212544,-0.002600466,-0.00271189,-0.032463805,-0.026016614,-0.002148316,-0.015503355,-0.003738271,-0.003018733,0.021083722,0.013208987,0.00701566,0.011405616,0.006658225,0.00271189,0.035969767,0.035727184,0.0234435,0.021642641,0.017012263,0.004788657
"2006-03-29",-0.02125075,-0.013695713,-0.001471123,-0.011844857,-0.003008676,-0.00313759,-0.031019244,-0.024858937,-0.002052721,-0.015623857,-0.003767327,-0.002948879,0.021247597,0.01290333,0.008116946,0.01114169,0.007703403,0.00313759,0.033400205,0.03395402,0.0199473,0.022275564,0.015237803,0.002366637
"2006-03-30",-0.021087934,-0.013648866,-0.001382727,-0.011804341,-0.002827893,-0.002949061,-0.029977874,-0.024024379,-0.001983807,-0.015504152,-0.003738463,-0.002938792,0.021084805,0.012859193,0.007629221,0.011103579,0.007240527,0.002949061,0.031826704,0.032474139,0.019762024,0.022044762,0.015895905,0.003195261
"2006-03-31",-0.021317979,-0.013455209,-0.001389218,-0.011636855,-0.002841167,-0.002962904,-0.031366157,-0.025136954,-0.002075677,-0.015673284,-0.003779245,-0.002897095,0.021314816,0.012676741,0.007665031,0.010946036,0.007274512,0.002962904,0.033911495,0.034723111,0.021128429,0.02265099,0.016156367,0.002881995
"2006-04-03",-0.021093604,-0.0134394,-0.001488922,-0.011623183,-0.003045077,-0.003175551,-0.029851991,-0.023923496,-0.001975477,-0.015508321,-0.003739469,-0.002893691,0.021090475,0.012661848,0.00821515,0.010933176,0.007796603,0.003175551,0.031611336,0.032514954,0.018564663,0.022280368,0.014836386,0.001859447
"2006-04-04",-0.022674377,-0.013144811,-0.001403002,-0.011368404,-0.002869358,-0.002992303,-0.031109286,-0.024931097,-0.00205868,-0.016670528,-0.004019708,-0.002830262,0.022671013,0.0123843,0.007741087,0.010693521,0.007346694,0.002992303,0.032137228,0.034680235,0.02072496,0.025329128,0.017938237,0.002345885
"2006-04-05",-0.022072613,-0.013612176,-0.001320222,-0.011772609,-0.002700061,-0.002815752,-0.030559579,-0.024490559,-0.002022302,-0.016228103,-0.003913027,-0.002930893,0.022069339,0.012824626,0.007284351,0.011073731,0.006913227,0.002815752,0.031818593,0.033368558,0.020990244,0.023785597,0.017918399,0.003776615
"2006-04-06",-0.022076635,-0.013221038,-0.001244761,-0.01143433,-0.00254573,-0.002654808,-0.030025234,-0.024062333,-0.001986942,-0.016231059,-0.003913739,-0.002846675,0.02207336,0.012456118,0.006867988,0.010755533,0.006518077,0.002654808,0.03092429,0.03300495,0.021197812,0.024214204,0.018682698,0.004034279
"2006-04-07",-0.022267326,-0.012841635,-0.001259536,-0.0111062,-0.002575948,-0.002686321,-0.029376872,-0.023542734,-0.001944036,-0.016371258,-0.003947546,-0.002764984,0.022264022,0.012098665,0.006949512,0.010446883,0.006595448,0.002686321,0.029654742,0.032461136,0.020380662,0.024952679,0.018804149,0.003399829
"2006-04-10",-0.021695171,-0.013691221,-0.001629324,-0.011840972,-0.003332221,-0.003474998,-0.028084095,-0.022506698,-0.001858485,-0.015950602,-0.003846114,-0.002947912,0.021691952,0.012899097,0.00898982,0.011138035,0.008531806,0.003474998,0.028068642,0.029645406,0.015330113,0.023048255,0.014276677,0.000770528999999999
"2006-04-11",-0.021466806,-0.013322616,-0.001551404,-0.011522181,-0.003172864,-0.003308814,-0.028524142,-0.022859353,-0.001887606,-0.015782705,-0.00380563,-0.002868546,0.021463621,0.01255182,0.008559901,0.010838169,0.008123791,0.003308814,0.029028495,0.030689462,0.016567205,0.023051067,0.014736649,0.001081746
"2006-04-12",-0.021553578,-0.013023994,-0.001776442,-0.011263915,-0.0036331,-0.00378877,-0.027321032,-0.021895176,-0.001807989,-0.015846501,-0.003821013,-0.002804248,0.021550381,0.012270474,0.009801547,0.010595235,0.009302177,0.00378877,0.026937783,0.029243311,0.013064268,0.023522911,0.012597259,-0.001562953
"2006-04-13",-0.02225197,-0.013425265,-0.001670252,-0.011610958,-0.003415926,-0.00356229,-0.027143043,-0.021752535,-0.00179621,-0.016359969,-0.003944823,-0.002890648,0.022248669,0.01264853,0.009215644,0.010921676,0.008746125,0.00356229,0.025948044,0.02854916,0.01394822,0.024296977,0.014653571,1.84649999999988e-05
"2006-04-14",-0.023392026,-0.013471951,-0.001571681,-0.011651334,-0.003214332,-0.003352059,-0.032209723,-0.025812991,-0.002131502,-0.017198154,-0.004146932,-0.0029007,0.023388556,0.012692514,0.008671776,0.010959655,0.008229966,0.003352059,0.03325845,0.035944753,0.020164078,0.026216379,0.017258623,0.001069172
"2006-04-17",-0.024926413,-0.013226148,-0.001504762,-0.011438749,-0.003077474,-0.003209336,-0.034181064,-0.027392831,-0.002261957,-0.018326257,-0.004418947,-0.002847775,0.024922715,0.012460932,0.008302553,0.01075969,0.007879553,0.003209336,0.035020104,0.039106795,0.022869713,0.029132404,0.020103787,0.00142708
"2006-04-18",-0.023826984,-0.012846955,-0.001547266,-0.011110801,-0.003164399,-0.003299986,-0.034679067,-0.027791933,-0.002294912,-0.017517941,-0.004224041,-0.00276613,0.023823449,0.012103678,0.008537064,0.010451211,0.008102117,0.003299986,0.036941087,0.040247438,0.022956,0.027641647,0.018119898,0.000514163000000002
"2006-04-19",-0.023822319,-0.012495075,-0.001445545,-0.010806475,-0.002956366,-0.003083039,-0.033297383,-0.026684646,-0.002203478,-0.017514512,-0.004223214,-0.002690364,0.023818785,0.011772157,0.007975823,0.010164951,0.00756947,0.003083039,0.034643597,0.038596271,0.022553723,0.028012925,0.019135858,0.001086066
