"da[, 1]","PCoVaR1DL","PCoVaR2DL","PCoVaR3DL","PCoVaR4DL","PCoVaR5DL","PCoVaR6DL","VaR1D","PCoVaR2DR","PCoVaR3DR","PCoVaR4DR","PCoVaR5DR","PCoVaR6DR","PCoVaR1UL","PCoVaR2UL","PCoVaR3UL","PCoVaR4UL","PCoVaR5UL","PCoVaR6UL","PCoVaR1UR","PCoVaR2UR","PCoVaR3UR","PCoVaR4UR","PCoVaR5UR","PCoVaR6UR"
"2020-02-28",1.02680757320077,0.945544804496997,0.227111089295727,0.890614240975805,0.317201136014023,0.543433690960271,1.71490169884212,1.44614661565649,0.256917339387096,0.853652964487989,0.274471888951655,0.464523658200778,0.983166707727625,0.891245692855636,0.221584009441593,0.839515070539074,1.03972074406121,1.10288357434314,1.29577956172892,1.79346311273197,-0.380017612108624,1.42815080398364,-0.0817682238472321,-0.290583641739813
"2020-03-02",1.0236523349498,0.944598283106607,0.227147943353959,0.889722715765481,0.317252594179735,0.543521867173191,1.67298768045786,1.41080128432935,0.250637989843779,0.851029817389487,0.273628518771198,0.464058633542732,0.986076997523055,0.892141671678673,0.221548957878704,0.840359011978745,1.03955624090311,1.10270907065078,1.36850190520659,2.10353529383691,-0.255813284848786,1.62048201656692,0.0782048272186403,-0.227735995019164
"2020-03-03",1.02259374684706,0.944344401183239,0.227419821822981,0.889483577723602,0.317632326256528,0.544172420811618,1.65871956070025,1.39876923131623,0.248500443519388,0.850149725574211,0.27334553969818,0.463933914925691,0.987061308537954,0.892382570855109,0.221290936920836,0.840585945730159,1.03834554695929,1.10142482429628,1.40884517557009,2.26683532593112,-0.128298338143155,1.71418325932708,0.245859124824961,-0.13833847785844
"2020-03-04",1.02329827399128,0.944870736076651,0.227130619820172,0.889979306404914,0.317228413389657,0.543480410258007,1.66381980225819,1.40307016996904,0.249264504657474,0.850735460992847,0.273533866787997,0.464192496783809,0.986405807496325,0.891883417894865,0.221565435656196,0.840115777869715,1.0396335673778,1.10279109940735,1.43411320580394,2.3163467700995,-0.227354381052101,1.72561245040964,0.0913947642647421,-0.248532669333584
"2020-03-05",1.02428767551698,0.945427136386068,0.227399266750892,0.890503449029746,0.317603625476342,0.544123266503468,1.66981875650081,1.40812899934283,0.250163258540492,0.851558022151808,0.273798324452323,0.464465861299122,0.985488192057067,0.891356930273033,0.221310364669267,0.839619810934154,1.03843676069784,1.1015215750658,1.48197521790112,2.35646349001418,-0.179590047956658,1.70392041351681,0.134711536814129,-0.212662400128526
"2020-03-06",1.02433466126419,0.946005180904115,0.227001955942203,0.891047882761206,0.317048700020728,0.543172521960558,1.66509686990634,1.40414710219348,0.249455813536585,0.851597074251668,0.273810867880726,0.464749793091877,0.985444676698113,0.890811162932696,0.221688029413437,0.839105756760738,1.04020876261734,1.10340123399374,1.5467581746251,2.58187744881892,-0.266400011707857,1.8123270450298,-0.0102595336612515,-0.339906348929306
"2020-03-09",1.02462886262987,0.944612448002056,0.22692463439125,0.889736057621708,0.316940690583805,0.54298751980772,1.66292375505318,1.40231456827765,0.249130275502726,0.851841662385305,0.273889533478965,0.464065616263383,0.985172490510569,0.892128207345006,0.221761812316621,0.840346329117119,1.04055496981218,1.10376847945497,1.61182634945171,2.26529239370627,-0.279402392093265,1.49968919399639,-0.0517242808464926,-0.287994478220701
"2020-03-10",1.02261180596202,0.941797154392212,0.226128722760671,0.887084314982875,0.315829066842599,0.541083038609929,1.64535612707104,1.38750007363788,0.246498380345796,0.850164745975596,0.273350354228228,0.462682517693977,0.987044509953675,0.894814294025843,0.222527248032955,0.842876522711422,1.04414653402575,1.10757823444269,1.59616415215564,1.79288425888108,-0.44682481644555,1.15357635149657,-0.26443835872876,-0.358058960553044
"2020-03-11",1.02222091764627,0.941165509981032,0.226314229244821,0.886489353215664,0.316088166513518,0.541526936925224,1.64400414204289,1.38635995263726,0.246295826580798,0.849839804003097,0.273245885774456,0.462372195269874,0.987408931504119,0.895421421799431,0.222347876020493,0.84344840932612,1.04330491144179,1.1066854836474,1.56213221048913,1.6328439207134,-0.386631057371871,1.05753783948805,-0.173202781715515,-0.244520194321918
"2020-03-12",1.02201345901818,0.941495132434315,0.226089140696882,0.886799845022375,0.315773791823298,0.540988352229487,1.64560544746598,1.38771033840545,0.246535734616007,0.849667291191052,0.273190429182882,0.462534153138313,0.987602615874976,0.895104453435619,0.222565569068408,0.84314983321011,1.04432640043859,1.1077690158069,1.50959083283339,1.70266164262323,-0.459449989827325,1.15643616024937,-0.25628780068515,-0.351704918059944
"2020-03-13",1.02174056927404,0.940756297133835,0.225638664701442,0.88610393086972,0.315144619992738,0.539910439554887,1.64291040758318,1.38543764482289,0.246131981010845,0.849440418995828,0.273117455212069,0.462171156245537,0.987857495412828,0.895815589614566,0.223003856574711,0.843819692580984,1.04638292082953,1.1099504687091,1.51105522850368,1.53080553099655,-0.588778250559303,1.01848633358421,-0.434175458123959,-0.472870437395818
"2020-03-16",1.02204945503917,0.940465719285155,0.225785045189461,0.885830236466856,0.315349063306533,0.54026070499152,1.64260701717666,1.38518180869411,0.246086529402442,0.849697230933364,0.27320003408174,0.462028405253632,0.987568916420666,0.896095912735378,0.222861057242521,0.844083765984802,1.04571288081834,1.10923972889969,1.55915280325366,1.4505632840887,-0.543149931545348,0.917514295810492,-0.383245826923304,-0.395086455864604
