Date,VaR1D,VaR2D,VaR3D,VaR4D,VaR1U,VaR2U,VaR3U,VaR4U,CoVaR1DL,CoVaR1DR,CoVaR1UL,CoVaR1UR,CoVaR2DL,CoVaR2DR,CoVaR2UL,CoVaR2UR,CoVaR3DL,CoVaR3DR,CoVaR3UL,CoVaR3UR,CoVaR4DL,CoVaR4DR,CoVaR4UL,CoVaR4UR,CoVaR5DL,CoVaR5DR,CoVaR5UL,CoVaR5UR,CoVaR6DL,CoVaR6DR,CoVaR6UL,CoVaR6UR
2006/2/28,-0.021007207,-0.024264495,-0.012852629,-0.012518193,0.027933207,0.025572495,0.013112251,0.013948193,-0.049370355,-0.057728457,0.050674631,0.064646877,-0.024709628,-0.050435753,0.024283248,0.05742806,-0.013834564,-0.023437262,0.021211294,0.041331294,-0.023107258,-0.042722684,0.022758117,0.044030684,-0.015210378,-0.028715255,0.020841253,0.036199903,-0.015325731,-0.015405607,0.016755731,0.015515617
2006/3/1,-0.02010219,-0.023177279,-0.012716724,-0.016062103,0.02702819,0.024485279,0.012980473,0.017492103,-0.047187749,-0.055465326,0.048492187,0.062384025,-0.024451483,-0.048442338,0.024036304,0.055432193,-0.017731004,-0.022442371,0.026700296,0.039930757,-0.022865633,-0.040830122,0.022526895,0.042138122,-0.019475267,-0.027433849,0.026231156,0.034649004,-0.019621512,-0.015243382,0.021051512,0.015359062
2006/3/2,-0.019254499,-0.02268393,-0.012817349,-0.015018214,0.026180499,0.02399193,0.013078043,0.016448214,-0.04619734,-0.053345545,0.047501851,0.060264508,-0.024642615,-0.046575189,0.024219143,0.053562748,-0.016583275,-0.021510498,0.025083464,0.038618932,-0.023044534,-0.039971327,0.022698093,0.041279327,-0.018219008,-0.02685238,0.024643515,0.033945247,-0.018356154,-0.015363495,0.019786154,0.015474976
2006/3/3,-0.021505278,-0.022875423,-0.012741504,-0.014796312,0.028431278,0.024183423,0.013004502,0.016226312,-0.046581767,-0.05897396,0.04788625,0.065892225,-0.024498553,-0.051532818,0.024081331,0.058526475,-0.016339299,-0.023984795,0.024739769,0.042102073,-0.02290969,-0.040304668,0.022569056,0.041612668,-0.017951961,-0.027078078,0.024306025,0.034218411,-0.018087173,-0.015272962,0.019517173,0.015387608
2006/3/6,-0.020612753,-0.021883293,-0.012734928,-0.014682048,0.027538753,0.023191293,0.012998125,0.016112048,-0.044590046,-0.056742065,0.045894677,0.063660607,-0.024486061,-0.049566917,0.024069381,0.056558156,-0.016213668,-0.023003636,0.024562791,0.040720866,-0.022897998,-0.038577624,0.022557867,0.039885624,-0.017814451,-0.02590874,0.024132241,0.032803149,-0.017948666,-0.015265112,0.019378666,0.015380032
2006/3/7,-0.020501604,-0.021608034,-0.012583401,-0.016665375,0.027427604,0.022916034,0.0128512,0.018095375,-0.044037458,-0.056464122,0.04534213,0.063382698,-0.024198245,-0.049322099,0.023794053,0.056313037,-0.018394287,-0.02288145,0.027634677,0.040548861,-0.0226286,-0.038098469,0.022300068,0.039406469,-0.02020127,-0.025584316,0.027148668,0.032410496,-0.020352774,-0.01508424,0.021782774,0.015205482
2006/3/8,-0.023863231,-0.024328904,-0.013790173,-0.016678025,0.030789231,0.025636904,0.014021321,0.018108025,-0.049499658,-0.064870379,0.050803923,0.071787914,-0.026490438,-0.056726511,0.025986795,0.063726558,-0.018408196,-0.026576909,0.027654271,0.045751068,-0.024774108,-0.042834804,0.024353196,0.044142804,-0.020216494,-0.028791168,0.027167908,0.036291782,-0.020368108,-0.016524718,0.021798108,0.016595613
2006/3/9,-0.024227775,-0.024367431,-0.014698359,-0.015630967,0.031153775,0.025675431,0.014901923,0.017060967,-0.049577002,-0.065781975,0.050881262,0.072699397,-0.028215483,-0.057529464,0.027636997,0.064530499,-0.017256981,-0.026977654,0.026032529,0.046315209,-0.026388762,-0.04290187,0.025898328,0.04420987,-0.01895642,-0.028836577,0.025575445,0.03634674,-0.019098907,-0.017608785,0.020528907,0.01764179
2006/3/10,-0.023975929,-0.023775426,-0.014512796,-0.016649005,0.030901929,0.025083426,0.014721996,0.018079005,-0.04838854,-0.065152196,0.049692888,0.072069696,-0.027863017,-0.056974741,0.027299823,0.063975094,-0.018376289,-0.026700798,0.027609322,0.04592547,-0.026058851,-0.041871341,0.025582622,0.043179341,-0.02018157,-0.028138832,0.027123771,0.035502252,-0.020332931,-0.017387286,0.021762931,0.017428032
2006/3/13,-0.022969575,-0.023422772,-0.01423412,-0.015564504,0.029895575,0.024730772,0.014451784,0.016994504,-0.04768058,-0.062635655,0.048984982,0.069553466,-0.027333688,-0.054758118,0.02679346,0.061755743,-0.017183907,-0.025594506,0.025929588,0.044368111,-0.025563396,-0.041257462,0.0251085,0.042565462,-0.018876436,-0.02772319,0.025474362,0.034999196,-0.019018344,-0.017054641,0.020448344,0.017107014
2006/3/14,-0.022741514,-0.024180439,-0.013917495,-0.014599149,0.029667514,0.025488439,0.014144776,0.016029149,-0.049201612,-0.062065355,0.0505059,0.068983237,-0.026732278,-0.054255785,0.026218143,0.061252792,-0.016122523,-0.025343797,0.024434392,0.044015181,-0.025000472,-0.042576365,0.024569814,0.043884365,-0.017714687,-0.028616186,0.024006161,0.036079999,-0.01784818,-0.016676697,0.01927818,0.01674228
2006/3/15,-0.02196283,-0.023325196,-0.013683276,-0.013644668,0.02888883,0.024633196,0.01391767,0.015074668,-0.047484694,-0.060118138,0.04878911,0.067036261,-0.026287393,-0.052540635,0.02579256,0.059535532,-0.015073096,-0.024487785,0.022956041,0.042810147,-0.024584056,-0.041087607,0.024171328,0.042395607,-0.016566025,-0.027608185,0.0225545,0.034860005,-0.016691198,-0.016397119,0.018121198,0.016472474
2006/3/16,-0.021954682,-0.02340752,-0.01332506,-0.01280451,0.028880682,0.02471552,0.013570334,0.01423451,-0.047649962,-0.060097763,0.048954365,0.067015889,-0.025606983,-0.052522688,0.025141671,0.059517563,-0.014149363,-0.024478828,0.021654758,0.042797538,-0.023947189,-0.041230912,0.023561882,0.042538912,-0.015554944,-0.027705213,0.021276711,0.034977439,-0.015672793,-0.015969531,0.017102793,0.01605983
2006/3/17,-0.021229518,-0.022432142,-0.013605523,-0.012047297,0.028155518,0.023740142,0.013842278,0.013477297,-0.045691871,-0.05828438,0.046996421,0.06520273,-0.026139705,-0.050925421,0.02565128,0.057918331,-0.013316826,-0.02368165,0.020481944,0.041675327,-0.02444582,-0.039533029,0.024039043,0.040841029,-0.014643681,-0.02655562,0.020125071,0.033586076,-0.01475493,-0.016304308,0.01618493,0.016382907
2006/3/20,-0.021079838,-0.021652357,-0.013240433,-0.011348852,0.028005838,0.022960357,0.013488277,0.012778852,-0.044126438,-0.057910082,0.045431104,0.064828479,-0.025446238,-0.050595731,0.024987899,0.057588236,-0.012548903,-0.023517105,0.019400154,0.041443693,-0.02379673,-0.038175624,0.023417901,0.039483624,-0.013803143,-0.025636556,0.019062811,0.032473722,-0.013908304,-0.015868514,0.015338304,0.015962344
2006/3/21,-0.021445608,-0.02186849,-0.012977018,-0.011510325,0.028371608,0.02317649,0.013232862,0.012940325,-0.044560328,-0.058824746,0.045864962,0.06574303,-0.024945896,-0.051401388,0.024509266,0.058394883,-0.012726438,-0.023919199,0.019650253,0.042009732,-0.023328407,-0.038551856,0.022969743,0.039859856,-0.013997467,-0.025891292,0.019308395,0.032782033,-0.014104035,-0.015554085,0.015534035,0.015658905
2006/3/22,-0.020421447,-0.0214509,-0.012916789,-0.013406625,0.027347447,0.0227589,0.013174463,0.014836625,-0.04372201,-0.056263675,0.045026705,0.063182276,-0.024831496,-0.049145541,0.024399829,0.056136262,-0.014811373,-0.022793332,0.022587346,0.040424815,-0.023221327,-0.03782494,0.022867274,0.03913294,-0.016279553,-0.025399116,0.022192461,0.032186347,-0.016402651,-0.015482192,0.017832651,0.015589526
2006/3/23,-0.019495738,-0.021164107,-0.01506555,-0.012578387,0.026421738,0.022472107,0.015257963,0.014008387,-0.043146266,-0.053948801,0.044451005,0.060867689,-0.028912941,-0.047106551,0.028304195,0.054094763,-0.013900747,-0.021775695,0.021304527,0.038992257,-0.027041587,-0.037325706,0.026523045,0.038633706,-0.015282818,-0.025061098,0.020932802,0.03177724,-0.015398696,-0.018047088,0.016828696,0.018064773
2006/3/24,-0.018561988,-0.020181386,-0.015967982,-0.012919826,0.025487988,0.021489386,0.016132986,0.014349826,-0.041173435,-0.051613818,0.04247832,0.058532994,-0.030627056,-0.045049846,0.029943941,0.052035528,-0.01427615,-0.020749217,0.021833366,0.037547254,-0.02864601,-0.035615042,0.028058386,0.036923042,-0.01569372,-0.02390285,0.021452094,0.030375401,-0.015812575,-0.019124286,0.017242575,0.019104321
2006/3/27,-0.01896507,-0.019698619,-0.015717966,-0.012163729,0.02589107,0.021006619,0.015890563,0.013593729,-0.040204272,-0.052621784,0.04150923,0.059540836,-0.030152166,-0.045937685,0.029489654,0.052924459,-0.01344484,-0.021192327,0.020662281,0.038171033,-0.02820151,-0.03477467,0.027633024,0.03608267,-0.014783801,-0.023333856,0.020302152,0.029686742,-0.014896065,-0.018825852,0.016326065,0.018816317
2006/3/28,-0.018170142,-0.020275478,-0.015257613,-0.012067361,0.025096142,0.021583478,0.015444192,0.013497361,-0.041362328,-0.050633947,0.0426672,0.057553245,-0.029277753,-0.044186756,0.028653179,0.051171376,-0.013338886,-0.020318458,0.020513021,0.036940861,-0.027383053,-0.035778833,0.026849808,0.037086833,-0.014667827,-0.024013749,0.020155586,0.030509624,-0.014779251,-0.018276346,0.016209251,0.018286018
2006/3/29,-0.017207519,-0.020438155,-0.014896914,-0.014073877,0.024133519,0.021746155,0.015094448,0.015503877,-0.041688905,-0.048226763,0.042993752,0.05514636,-0.028592627,-0.042066456,0.027997778,0.049048468,-0.015545,-0.01926024,0.023620823,0.035451177,-0.026741771,-0.036062012,0.026236138,0.037370012,-0.017082553,-0.024205482,0.02320728,0.03074168,-0.017211467,-0.017845793,0.018641467,0.017870514
2006/3/30,-0.016513574,-0.020276555,-0.014844829,-0.013185254,0.023439574,0.021584555,0.015043945,0.014615254,-0.041364489,-0.046491448,0.04266936,0.053411259,-0.028493695,-0.040537953,0.027903138,0.047518084,-0.014567981,-0.018497381,0.022244475,0.034377278,-0.02664917,-0.035780707,0.026147524,0.037088707,-0.016013147,-0.024015018,0.021855781,0.030511159,-0.016134315,-0.017783621,0.017564315,0.017810515
2006/3/31,-0.017438695,-0.020504882,-0.014629521,-0.013250498,0.024364695,0.021812882,0.014835176,0.014680498,-0.041822861,-0.048804852,0.043127698,0.055724377,-0.02808473,-0.042575649,0.027511917,0.049558287,-0.014639716,-0.019514372,0.022345529,0.035808927,-0.026266376,-0.036178166,0.025781212,0.037486166,-0.016091665,-0.024284127,0.02195501,0.030836865,-0.016213402,-0.017526616,0.017643402,0.017562493
2006/4/3,-0.016429689,-0.020282182,-0.014611947,-0.014252801,0.023355689,0.021590182,0.014818135,0.015682801,-0.041375786,-0.04628168,0.042680657,0.053201518,-0.028051347,-0.040353185,0.027479983,0.047333089,-0.015741723,-0.018405166,0.023897951,0.034247464,-0.02623513,-0.035790503,0.025751311,0.037098503,-0.017297878,-0.024021651,0.023479404,0.030519187,-0.017428352,-0.017505638,0.018858352,0.017542248
2006/4/4,-0.017267521,-0.021851157,-0.01428442,-0.013389072,0.024193521,0.023159157,0.014500557,0.014819072,-0.044525534,-0.048376807,0.04583017,0.055296385,-0.027429231,-0.042198618,0.026884857,0.049180792,-0.014792074,-0.019326201,0.022560159,0.035544032,-0.025652824,-0.038521685,0.025194078,0.039829685,-0.01625843,-0.025870865,0.022165766,0.032757309,-0.016381375,-0.017114682,0.017811375,0.017164957
2006/4/5,-0.016901209,-0.021253886,-0.014804037,-0.01255691,0.023827209,0.022561886,0.015004392,0.01398691,-0.043326499,-0.047460788,0.044631225,0.054380479,-0.028416213,-0.041391768,0.027829018,0.04837295,-0.013877132,-0.018923511,0.021271261,0.034977154,-0.026576646,-0.037481989,0.026078123,0.038789989,-0.015256971,-0.025166913,0.020900137,0.031905309,-0.015372662,-0.01773493,0.016802662,0.017763525
2006/4/6,-0.016545133,-0.021257878,-0.01436917,-0.011798305,0.023471133,0.022565878,0.014582733,0.013228305,-0.043334513,-0.046570367,0.044639238,0.053490168,-0.027590208,-0.040607466,0.027038851,0.047587683,-0.013043066,-0.018532075,0.020096293,0.034426117,-0.0258035,-0.037488937,0.025338266,0.038796937,-0.014344035,-0.025171617,0.019746382,0.031911003,-0.014453113,-0.017215845,0.015883113,0.017262584
2006/4/7,-0.016113079,-0.021447144,-0.013947349,-0.011946841,0.023039079,0.022755144,0.014173723,0.013376841,-0.04371447,-0.045489951,0.045019166,0.052409886,-0.026788984,-0.039655813,0.026272388,0.046634859,-0.013206377,-0.018057115,0.020326353,0.033757503,-0.025053549,-0.037818402,0.024620606,0.039126402,-0.014522789,-0.02539469,0.019972289,0.03218099,-0.014633162,-0.016712333,0.016063162,0.01677667
